client_id,parent_client_id,default_client_branch_rate_id,client_name,remote_support,push_alert,is_active
0,\N,1,이마트,\N,\N,1
1001,\N,1,이마트,\N,\N,1
1002,1001,1,이마트 본사,\N,\N,1
1003,1001,1,에브리데이,\N,\N,1
1004,1001,1,자연주의,\N,\N,1
1005,1001,1,이마트,\N,\N,1
1006,1001,1,트레이더스,\N,\N,1
1007,\N,1,국민은행,\N,\N,0
1008,\N,1,GS리테일,\N,\N,1
1009,1008,1,GS슈퍼,\N,\N,1
1010,\N,2,롯데백화점,\N,\N,1
1011,\N,2,현대백화점,\N,\N,1
1012,\N,3,AK플라자,\N,\N,1
1013,\N,4,신한은행,\N,\N,0
1014,\N,5,우리은행,\N,\N,0
1015,\N,1,롯데하이마트,\N,\N,1
1016,\N,1,전자랜드,\N,\N,1
1017,\N,6,KB증권,\N,\N,0
101501,1015,1,강원지사,\N,\N,1
101502,1015,1,경기북부지사,\N,\N,1
101503,1015,1,경기남부지사,\N,\N,1
101504,1015,1,경남지사,\N,\N,1
101505,1015,1,경북지사,\N,\N,1
101506,1015,1,전남광주지사,\N,\N,1
101507,1015,1,대구지사,\N,\N,1
101508,1015,1,대전지사,\N,\N,1
101509,1015,1,부산지사,\N,\N,1
101510,1015,1,물류,\N,\N,1
101511,1015,1,본사,\N,\N,1
101512,1015,1,서울강북지사,\N,\N,1
101513,1015,1,서울강남지사,\N,\N,1
101514,1015,1,충북세종지사,\N,\N,1
101515,1015,1,울산지사,\N,\N,1
101516,1015,1,인천지사,\N,\N,1
101517,1015,1,전남지사,\N,\N,1
101518,1015,1,전북지사,\N,\N,1
101519,1015,1,제주지사,\N,\N,1
101520,1015,1,충북지사,\N,\N,1
101521,1015,1,충남지사,\N,\N,1
