user_position_id,position_name
1,개발자
2,대표이사
3,전무이사
4,상무이사
5,이사
6,본부장
7,부본부장
8,실장
9,팀장
10,부장
11,차장
12,과장
13,대리
14,주임
15,사원
16,인턴
17,개발자
18,대표이사
19,전무이사
20,상무이사
21,이사
22,본부장
23,부본부장
24,실장
25,팀장
26,부장
27,차장
28,과장
29,대리
30,주임
31,사원
32,인턴
33,개발자
34,대표이사
35,전무이사
36,상무이사
37,이사
38,본부장
39,부본부장
40,실장
41,팀장
42,부장
43,차장
44,과장
45,대리
46,주임
47,사원
48,인턴
49,개발자
50,대표이사
51,전무이사
52,상무이사
53,이사
54,본부장
55,부본부장
56,실장
57,팀장
58,부장
59,차장
60,과장
61,대리
62,주임
63,사원
64,인턴
65,개발자
66,대표이사
67,전무이사
68,상무이사
69,이사
70,본부장
71,부본부장
72,실장
73,팀장
74,부장
75,차장
76,과장
77,대리
78,주임
79,사원
80,인턴
81,개발자
82,대표이사
83,전무이사
84,상무이사
85,이사
86,본부장
87,부본부장
88,실장
89,팀장
90,부장
91,차장
92,과장
93,대리
94,주임
95,사원
96,인턴
97,개발자
98,대표이사
99,전무이사
100,상무이사
101,이사
102,본부장
103,부본부장
104,실장
105,팀장
106,부장
107,차장
108,과장
109,대리
110,주임
111,사원
112,인턴
113,개발자
114,대표이사
115,전무이사
116,상무이사
117,이사
118,본부장
119,부본부장
120,실장
121,팀장
122,부장
123,차장
124,과장
125,대리
126,주임
127,사원
128,인턴
129,개발자
130,대표이사
131,전무이사
132,상무이사
133,이사
134,본부장
135,부본부장
136,실장
137,팀장
138,부장
139,차장
140,과장
141,대리
142,주임
143,사원
144,인턴
145,개발자
146,대표이사
147,전무이사
148,상무이사
149,이사
150,본부장
151,부본부장
152,실장
153,팀장
154,부장
155,차장
156,과장
157,대리
158,주임
159,사원
160,인턴
161,개발자
162,대표이사
163,전무이사
164,상무이사
165,이사
166,본부장
167,부본부장
168,실장
169,팀장
170,부장
171,차장
172,과장
173,대리
174,주임
175,사원
176,인턴
177,개발자
178,대표이사
179,전무이사
180,상무이사
181,이사
182,본부장
183,부본부장
184,실장
185,팀장
186,부장
187,차장
188,과장
189,대리
190,주임
191,사원
192,인턴
193,개발자
194,대표이사
195,전무이사
196,상무이사
197,이사
198,본부장
199,부본부장
200,실장
201,팀장
202,부장
203,차장
204,과장
205,대리
206,주임
207,사원
208,인턴
209,개발자
210,대표이사
211,전무이사
